M,D,T,curve_load
10,1,17,0.7117413933056392
10,1,18,0.788573747791625
10,1,19,0.7751611516974647
10,1,20,0.7175142052237026
10,1,21,0.6454996896337679
10,1,22,0.5822852504416751
10,1,23,0.5031466361075301
10,1,24,0.41331709879195916
10,2,1,0.3234837415843003
10,2,2,0.28389915484887557
10,2,3,0.26065320154705635
10,2,4,0.25449935539321017
10,2,5,0.26379888268156426
10,2,6,0.3115885976221172
10,2,7,0.40481019911187516
10,2,8,0.46734565248531734
10,2,9,0.48950293654204274
10,2,10,0.4897264002291936
10,2,11,0.48899584586735434
10,2,12,0.5025555078069045
10,2,13,0.4798538891276322
10,2,14,0.4639593181492624
10,2,15,0.4646526285632432
10,2,16,0.5077753903452228
10,2,17,0.6786678126342932
10,2,18,0.7197077782552644
10,2,19,0.7296862913622691
10,2,20,0.6876550637444493
10,2,21,0.6301561380890991
10,2,22,0.5664919066036385
10,2,23,0.4897092107147974
10,2,24,0.39508379888268164
10,3,1,0.36024924795874524
10,3,2,0.3060470256000983
10,3,3,0.27718705875130456
10,3,4,0.26448523543495617
10,3,5,0.26516053778623616
10,3,6,0.29428448646325744
10,3,7,0.37439376266191915
10,3,8,0.4638774633188042
10,3,9,0.5017005341027688
10,3,10,0.5097120756338634
10,3,11,0.5070783964638714
10,3,12,0.5109705936521579
10,3,13,0.5015531954079441
10,3,14,0.48056357050770465
10,3,15,0.4813984897783781
10,3,16,0.5040702314445332
10,3,17,0.631008656148321
10,3,18,0.7935477929891339
10,3,19,0.8021179937381056
10,3,20,0.7368223954816134
10,3,21,0.6724046902817854
10,3,22,0.6111179323469826
10,3,23,0.5339738473816686
10,3,24,0.4471176867824913
11,1,1,0.40868876235496354
11,1,2,0.33952245380318014
11,1,3,0.2988934250107435
11,1,4,0.2790368500214869
11,1,5,0.27196766222604213
11,1,6,0.28684733562526865
11,1,7,0.3466426729694887
11,1,8,0.4532257198109154
11,1,9,0.5164616458960035
11,1,10,0.5314944134078213
11,1,11,0.5202621400945424
11,1,12,0.5140282552642889
11,1,13,0.5278067253975076
11,1,14,0.5006499785131071
11,1,15,0.4951144177051999
11,1,16,0.5080441555651054
11,1,17,0.5912924366136658
11,1,18,0.8475934679845296
11,1,19,0.8564568113450797
11,1,20,0.792941555651053
11,1,21,0.7252014396218308
11,1,22,0.6644311345079502
11,1,23,0.5971395573700043
11,1,24,0.5110254619681994
11,2,1,0.4337075633863344
11,2,2,0.36048560378169325
11,2,3,0.31361731843575424
11,2,4,0.2854587451654491
11,2,5,0.2732595616673829
11,2,6,0.2774709926944564
11,2,7,0.3013429308122046
11,2,8,0.3639449935539322
11,2,9,0.48062419424151276
11,2,10,0.5816877954447788
11,2,11,0.6170552213149979
11,2,12,0.6360496347228192
11,2,13,0.6602761065749894
11,2,14,0.6352707348517406
11,2,15,0.612236785560808
11,2,16,0.6064353244520843
11,2,17,0.6709389772238935
11,2,18,0.9068811774817362
11,2,19,0.8923130640309412
11,2,20,0.8204608938547487
11,2,21,0.7542973785990547
11,2,22,0.6704770090244951
11,2,23,0.602605285775677
11,2,24,0.5038461538461539
11,3,1,0.40600916774101137
11,3,2,0.3373657069187796
11,3,3,0.2955951869359691
11,3,4,0.2783985102420857
11,3,5,0.2750322303394929
11,3,6,0.291176049276608
11,3,7,0.3477582008308266
11,3,8,0.4646468987251111
11,3,9,0.5373012462397938
11,3,10,0.558723678556081
11,3,11,0.559755049419854
11,3,12,0.5527073485174046
11,3,13,0.5605070906746885
11,3,14,0.5335123907749607
11,3,15,0.5272883541039967
11,3,16,0.5406460392493913
11,3,17,0.6349090388196534
11,3,18,0.8855393210141815
11,3,19,0.8733562526858618
11,3,20,0.819982810485604
11,3,21,0.7477940123191521
11,3,22,0.6852170176192524
11,3,23,0.6145179773671394
11,3,24,0.5314353244520843
12,1,1,0.47340638876951735
12,1,2,0.38534593897722397
12,1,3,0.33312562670104573
12,1,4,0.3013465119610371
12,1,5,0.29008021773384907
12,1,6,0.293224466408824
12,1,7,0.3153344793009598
12,1,8,0.3627345652485318
12,1,9,0.4765219882538319
12,1,10,0.5931814926228335
12,1,11,0.6691448216587883
12,1,12,0.6956954591032805
12,1,13,0.740466981807764
12,1,14,0.7228692164446355
12,1,15,0.6990975504941986
12,1,16,0.6949362555507808
12,1,17,0.7518407104999284
12,1,18,0.9627059160578715
12,1,19,0.9719166308551785
12,1,20,0.9016115169746456
12,1,21,0.8304326027789717
12,1,22,0.7547127918636299
12,1,23,0.6715227044835984
12,1,24,0.5602134364704198
12,2,1,0.43371562097120764
12,2,2,0.3586484744305974
12,2,3,0.31630855178341216
12,2,4,0.29289052428018914
12,2,5,0.2869467125053718
12,2,6,0.30153362698753766
12,2,7,0.3590835840137516
12,2,8,0.46918779544477873
12,2,9,0.5586296733992265
12,2,10,0.5890685431886551
12,2,11,0.5871481521272025
12,2,12,0.5833288568972927
12,2,13,0.5971637301246241
12,2,14,0.5734583154275893
12,2,15,0.5662575204125484
12,2,16,0.5815373871938119
12,2,17,0.6819993553932102
12,2,18,0.9222899656209713
12,2,19,0.9166577137945855
12,2,20,0.8519794800171897
12,2,21,0.7879565964761497
12,2,22,0.723541577137946
12,2,23,0.6469381177481737
12,2,24,0.5564917275461969
12,3,1,0.45926562574607277
12,3,2,0.37633576851453954
12,3,3,0.32518741345556995
12,3,4,0.29698228525044174
12,3,5,0.2867115503987013
12,3,6,0.29678651578092924
12,3,7,0.3300434512725016
12,3,8,0.397240127966385
12,3,9,0.5129828582342549
12,3,10,0.6180919639020199
12,3,11,0.6509000620732465
12,3,12,0.6650575371245764
12,3,13,0.6896051186553981
12,3,14,0.666762163968868
12,3,15,0.6568829680561525
12,3,16,0.6608652055579431
12,3,17,0.7304779639975172
12,3,18,0.931084371866495
12,3,19,0.9330468414267299
12,3,20,0.8486940743923985
12,3,21,0.7798930430215348
12,3,22,0.7086281812538797
12,3,23,0.6463305161629185
12,3,24,0.577386238838753
